"filename", "language", "YAML", "Dart", "JSON", "Markdown", "Shell Script", "Ruby", "Gradle", "Java Properties", "XML", "Swift", "C++", "comment", "blank", "total"
"d:\projects\flutter\49-mobile-app\assets\json\sub_categories.json", "JSON", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28
"d:\projects\flutter\49-mobile-app\assets\json\trip_details.json", "JSON", 0, 0, 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 78
"d:\projects\flutter\49-mobile-app\assets\json\trips.json", "JSON", 0, 0, 152, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 156
"d:\projects\flutter\49-mobile-app\assets\json\user_ads.json", "JSON", 0, 0, 121, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 131
"d:\projects\flutter\49-mobile-app\assets\json\users_list.json", "JSON", 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44
"d:\projects\flutter\49-mobile-app\assets\json\wallet_history_list.json", "JSON", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22
"d:\projects\flutter\49-mobile-app\assets\lottie\OMG_reaction.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\projects\flutter\49-mobile-app\assets\lottie\angry_reaction.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\projects\flutter\49-mobile-app\assets\lottie\haaha_reaction.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\projects\flutter\49-mobile-app\assets\lottie\haha_reaction.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\projects\flutter\49-mobile-app\assets\lottie\like_reaction.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\projects\flutter\49-mobile-app\assets\lottie\love_reaction.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\projects\flutter\49-mobile-app\assets\lottie\sad_reaction.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
