"filename", "language", "Dart", "comment", "blank", "total"
"d:\projects\flutter\49\49-mobile-app\lib\core\data\models\brand_model.dart", "Dart", 51, 0, 11, 62
"d:\projects\flutter\49\49-mobile-app\lib\core\data\models\category_model.dart", "Dart", 51, 0, 11, 62
"d:\projects\flutter\49\49-mobile-app\lib\core\data\models\contact_us_message_model.dart", "Dart", 81, 0, 11, 92
"d:\projects\flutter\49\49-mobile-app\lib\core\data\models\home_model.dart", "Dart", 65, 0, 13, 78
"d:\projects\flutter\49\49-mobile-app\lib\core\data\models\id_name_model.dart", "Dart", 60, 0, 12, 72
"d:\projects\flutter\49\49-mobile-app\lib\core\data\models\id_name_model_snack_case.dart", "Dart", 65, 0, 11, 76
"d:\projects\flutter\49\49-mobile-app\lib\core\data\models\intro_banner_model.dart", "Dart", 62, 0, 11, 73
"d:\projects\flutter\49\49-mobile-app\lib\core\data\models\key_value_model.dart", "Dart", 42, 0, 12, 54
"d:\projects\flutter\49\49-mobile-app\lib\core\data\models\meeting_error_message_model.dart", "Dart", 23, 0, 5, 28
"d:\projects\flutter\49\49-mobile-app\lib\core\data\models\notification_model.dart", "Dart", 203, 0, 22, 225
"d:\projects\flutter\49\49-mobile-app\lib\core\data\models\payment_summary.dart", "Dart", 270, 0, 32, 302
"d:\projects\flutter\49\49-mobile-app\lib\core\data\models\product_details_model.dart", "Dart", 350, 0, 42, 392
"d:\projects\flutter\49\49-mobile-app\lib\core\data\models\product_model.dart", "Dart", 81, 0, 11, 92
"d:\projects\flutter\49\49-mobile-app\lib\core\data\models\product_service_model.dart", "Dart", 219, 0, 34, 253
"d:\projects\flutter\49\49-mobile-app\lib\core\data\models\shipping_methods_mode.dart", "Dart", 304, 0, 42, 346
"d:\projects\flutter\49\49-mobile-app\lib\core\data\models\times_options_model.dart", "Dart", 52, 0, 11, 63
"d:\projects\flutter\49\49-mobile-app\lib\core\data\models\topic_model.dart", "Dart", 64, 0, 11, 75
"d:\projects\flutter\49\49-mobile-app\lib\core\domain\repositories\click_counter_repository.dart", "Dart", 3, 0, 1, 4
"d:\projects\flutter\49\49-mobile-app\lib\core\enums\address_type_enum.dart", "Dart", 1, 0, 1, 2
"d:\projects\flutter\49\49-mobile-app\lib\core\enums\base_status_enum.dart", "Dart", 7, 0, 1, 8
"d:\projects\flutter\49\49-mobile-app\lib\core\enums\club_house_layout_mode_enum.dart", "Dart", 23, 0, 3, 26
"d:\projects\flutter\49\49-mobile-app\lib\core\enums\file_size.dart", "Dart", 7, 0, 1, 8
"d:\projects\flutter\49\49-mobile-app\lib\core\enums\gender_type.dart", "Dart", 17, 0, 3, 20
"d:\projects\flutter\49\49-mobile-app\lib\core\enums\index_name.dart", "Dart", 7, 0, 3, 10
"d:\projects\flutter\49\49-mobile-app\lib\core\enums\main_services_enum.dart", "Dart", 33, 1, 5, 39
"d:\projects\flutter\49\49-mobile-app\lib\core\enums\order_reservation_status.dart", "Dart", 7, 0, 2, 9
"d:\projects\flutter\49\49-mobile-app\lib\core\enums\order_status.dart", "Dart", 13, 0, 2, 15
"d:\projects\flutter\49\49-mobile-app\lib\core\enums\otp_for.dart", "Dart", 1, 0, 1, 2
"d:\projects\flutter\49\49-mobile-app\lib\core\enums\otp_status.dart", "Dart", 7, 0, 1, 8
"d:\projects\flutter\49\49-mobile-app\lib\core\enums\post_type_enum.dart", "Dart", 1, 0, 1, 2
"d:\projects\flutter\49\49-mobile-app\lib\core\enums\provider_enum.dart", "Dart", 8, 0, 4, 12
"d:\projects\flutter\49\49-mobile-app\lib\core\enums\reports_enum.dart", "Dart", 59, 1, 6, 66
"d:\projects\flutter\49\49-mobile-app\lib\core\enums\request_result_enum.dart", "Dart", 4, 0, 1, 5
"d:\projects\flutter\49\49-mobile-app\lib\core\enums\ride_services_enum.dart", "Dart", 145, 1, 10, 156
"d:\projects\flutter\49\49-mobile-app\lib\core\enums\sort_type.dart", "Dart", 10, 0, 2, 12
"d:\projects\flutter\49\49-mobile-app\lib\core\enums\text_position.dart", "Dart", 20, 0, 1, 21
"d:\projects\flutter\49\49-mobile-app\lib\core\enums\text_size.dart", "Dart", 1, 0, 1, 2
"d:\projects\flutter\49\49-mobile-app\lib\core\enums\theme_type.dart", "Dart", 1, 0, 1, 2
"d:\projects\flutter\49\49-mobile-app\lib\core\enums\topic_type.dart", "Dart", 7, 0, 2, 9
"d:\projects\flutter\49\49-mobile-app\lib\core\enums\user_type.dart", "Dart", 5, 0, 3, 8
"d:\projects\flutter\49\49-mobile-app\lib\core\enums\wallet_types_enums.dart", "Dart", 38, 0, 5, 43
"d:\projects\flutter\49\49-mobile-app\lib\core\enums\week_days.dart", "Dart", 45, 0, 4, 49
"d:\projects\flutter\49\49-mobile-app\lib\core\enums\wheel.dart", "Dart", 1, 0, 1, 2
"d:\projects\flutter\49\49-mobile-app\lib\core\enums\zego_request_state.dart", "Dart", 6, 0, 1, 7
"d:\projects\flutter\49\49-mobile-app\lib\core\error\failure.dart", "Dart", 65, 0, 14, 79
"d:\projects\flutter\49\49-mobile-app\lib\core\exceptions\ion_exception.dart", "Dart", 24, 23, 6, 53
"d:\projects\flutter\49\49-mobile-app\lib\core\exceptions\exceed_file_size_limit_exception.dart", "Dart", 11, 0, 3, 14
"d:\projects\flutter\49\49-mobile-app\lib\core\exceptions\launcher_exception.dart", "Dart", 11, 0, 3, 14
"d:\projects\flutter\49\49-mobile-app\lib\core\exceptions\meeting_exception.dart", "Dart", 5, 0, 3, 8
"d:\projects\flutter\49\49-mobile-app\lib\core\exceptions\redundant_request_exception.dart", "Dart", 11, 0, 3, 14
"d:\projects\flutter\49\49-mobile-app\lib\core\exceptions\request_exception.dart", "Dart", 14, 0, 4, 18
"d:\projects\flutter\49\49-mobile-app\lib\core\exceptions\social_media_login_canceled_exception.dart", "Dart", 11, 0, 3, 14
"d:\projects\flutter\49\49-mobile-app\lib\core\extensions\context_extension.dart", "Dart", 12, 6, 8, 26
"d:\projects\flutter\49\49-mobile-app\lib\core\extensions\string_extension.dart", "Dart", 4, 0, 2, 6
"d:\projects\flutter\49\49-mobile-app\lib\core\failure\failure.dart", "Dart", 0, 41, 10, 51
"d:\projects\flutter\49\49-mobile-app\lib\core\local_storage\local_storage_consumer.dart", "Dart", 59, 0, 12, 71
"d:\projects\flutter\49\49-mobile-app\lib\core\localization\locales.dart", "Dart", 5, 0, 2, 7
"d:\projects\flutter\49\49-mobile-app\lib\core\localization\localization_service.dart", "Dart", 19, 0, 3, 22
"d:\projects\flutter\49\49-mobile-app\lib\core\messages\messages.dart", "Dart", 201, 0, 7, 208
"d:\projects\flutter\49\49-mobile-app\lib\core\service\app_info_service.dart", "Dart", 26, 2, 6, 34
"d:\projects\flutter\49\49-mobile-app\lib\core\service\base_repository.dart", "Dart", 29, 4, 6, 39
"d:\projects\flutter\49\49-mobile-app\lib\core\service\cache_service.dart", "Dart", 323, 36, 79, 438
"d:\projects\flutter\49\49-mobile-app\lib\core\service\custom_response.dart", "Dart", 14, 0, 3, 17
"d:\projects\flutter\49\49-mobile-app\lib\core\service\download_service.dart", "Dart", 0, 0, 2, 2
"d:\projects\flutter\49\49-mobile-app\lib\core\service\image_saver_service.dart", "Dart", 14, 0, 5, 19
