Date : 2024-08-20 21:35:42
Directory : d:\projects\flutter\49\49-mobile-app\lib
Total : 1472 files,  95704 codes, 8632 comments, 11769 blanks, all 116105 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Dart     |      1,472 |     95,704 |      8,632 |     11,769 |    116,105 |
+----------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                              | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| d:\projects\flutter\49\49-mobile-app\lib\features\shipping\create_shipping_request\data\models\drivnig_license_s3_model\drivnig_license_s3_model.dart                             | Dart     |         30 |          0 |          5 |         35 |
| d:\projects\flutter\49\49-mobile-app\lib\features\shipping\create_shipping_request\data\models\info_documents_model\document.dart                                                 | Dart     |         16 |          0 |          4 |         20 |
| d:\projects\flutter\49\49-mobile-app\lib\features\shipping\create_shipping_request\data\models\info_documents_model\info_documents_model.dart                                     | Dart     |         15 |          0 |          5 |         20 |
| d:\projects\flutter\49\49-mobile-app\lib\features\shipping\create_shipping_request\data\models\info_id_s3_model\id_behind.dart                                                    | Dart     |         13 |          0 |          4 |         17 |
| d:\projects\flutter\49\49-mobile-app\lib\features\shipping\create_shipping_request\data\models\info_id_s3_model\id_front.dart                                                     | Dart     |         13 |          0 |          4 |         17 |
| d:\projects\flutter\49\49-mobile-app\lib\features\shipping\create_shipping_request\data\models\info_id_s3_model\info_id_s3_model.dart                                             | Dart     |         22 |          0 |          5 |         27 |
| d:\projects\flutter\49\49-mobile-app\lib\features\shipping\create_shipping_request\data\models\register_request_model.dart                                                        | Dart     |         47 |          0 |          3 |         50 |
| d:\projects\flutter\49\49-mobile-app\lib\features\shipping\create_shipping_request\data\models\request_model.dart                                                                 | Dart     |         18 |          0 |          2 |         20 |
| d:\projects\flutter\49\49-mobile-app\lib\features\shipping\create_shipping_request\data\repositories\create_shipping_repo_impl.dart                                               | Dart     |         35 |          0 |          7 |         42 |
| d:\projects\flutter\49\49-mobile-app\lib\features\shipping\create_shipping_request\data\repositories\images_repository.dart                                                       | Dart     |          9 |         64 |          8 |         81 |
| d:\projects\flutter\49\49-mobile-app\lib\features\shipping\create_shipping_request\data\repositories\shipping_repository.dart                                                     | Dart     |         68 |         76 |         10 |        154 |
| d:\projects\flutter\49\49-mobile-app\lib\features\shipping\create_shipping_request\domain\repositories\create_shipping_repo.dart                                                  | Dart     |         18 |          0 |          6 |         24 |
| d:\projects\flutter\49\49-mobile-app\lib\features\shipping\create_shipping_request\domain\usecases\get_shipping_expected_price_usecase.dart                                       | Dart     |         15 |          0 |          3 |         18 |
| d:\projects\flutter\49\49-mobile-app\lib\features\shipping\create_shipping_request\domain\usecases\get_shipping_subcategories_usecase.dart                                        | Dart     |         14 |          0 |          3 |         17 |
| d:\projects\flutter\49\49-mobile-app\lib\features\shipping\create_shipping_request\presentation\cubit\create_shipping_request_cubit.dart                                          | Dart     |        131 |          4 |         14 |        149 |
| d:\projects\flutter\49\49-mobile-app\lib\features\shipping\create_shipping_request\presentation\cubit\create_shipping_request_state.dart                                          | Dart     |         90 |          0 |          7 |         97 |
| d:\projects\flutter\49\49-mobile-app\lib\features\shipping\create_shipping_request\presentation\cubit\images_cubit.dart                                                           | Dart     |          7 |         11 |          2 |         20 |
| d:\projects\flutter\49\49-mobile-app\lib\features\shipping\create_shipping_request\presentation\cubit\register_shipping_cubit.dart                                                | Dart     |          5 |          0 |          2 |          7 |
| d:\projects\flutter\49\49-mobile-app\lib\features\shipping\create_shipping_request\presentation\cubit\shipping_cubit.dart                                                         | Dart     |        341 |         11 |         34 |        386 |
| d:\projects\flutter\49\49-mobile-app\lib\features\shipping\create_shipping_request\presentation\cubit\shipping_state.dart                                                         | Dart     |         13 |          2 |          9 |         24 |
| d:\projects\flutter\49\49-mobile-app\lib\features\shipping\create_shipping_request\presentation\pages\create_shipping_view.dart                                                   | Dart     |        429 |         43 |         12 |        484 |
| d:\projects\flutter\49\49-mobile-app\lib\features\shipping\create_shipping_request\presentation\pages\driver_requests.dart                                                        | Dart     |         63 |         88 |          6 |        157 |
| d:\projects\flutter\49\49-mobile-app\lib\features\shipping\create_shipping_request\presentation\pages\register_shipping_screen.dart                                               | Dart     |        611 |        286 |         13 |        910 |
| d:\projects\flutter\49\49-mobile-app\lib\features\shipping\create_shipping_request\presentation\widgets\create_shipping_governorate_dropdown.dart                                 | Dart     |          0 |         28 |          3 |         31 |
| d:\projects\flutter\49\49-mobile-app\lib\features\shipping\create_shipping_request\presentation\widgets\from_and_to_widget.dart                                                   | Dart     |        174 |          1 |          7 |        182 |
| d:\projects\flutter\49\49-mobile-app\lib\features\shipping\create_shipping_request\presentation\widgets\image_validation.dart                                                     | Dart     |         70 |          0 |          3 |         73 |
| d:\projects\flutter\49\49-mobile-app\lib\features\shipping\create_shipping_request\presentation\widgets\select_shipping_destination.dart                                          | Dart     |        133 |          0 |          5 |        138 |
| d:\projects\flutter\49\49-mobile-app\lib\features\shipping\create_shipping_request\presentation\widgets\shipping_banner.dart                                                      | Dart     |         72 |          1 |          3 |         76 |
| d:\projects\flutter\49\49-mobile-app\lib\features\shipping\create_shipping_request\presentation\widgets\shipping_details_widget.dart                                              | Dart     |        164 |          0 |          8 |        172 |
| d:\projects\flutter\49\49-mobile-app\lib\features\social_media\chat\chat_room\data\datasources\chat_message_remote_datasourse.dart                                                | Dart     |         37 |          0 |          7 |         44 |
| d:\projects\flutter\49\49-mobile-app\lib\features\social_media\chat\chat_room\data\models\chat_messgaes_model.dart                                                                | Dart     |         16 |          0 |          4 |         20 |
| d:\projects\flutter\49\49-mobile-app\lib\features\social_media\chat\chat_room\data\models\chat_model.dart                                                                         | Dart     |         26 |          0 |          3 |         29 |
| d:\projects\flutter\49\49-mobile-app\lib\features\social_media\chat\chat_room\data\models\contact_model.dart                                                                      | Dart     |         11 |          0 |          3 |         14 |
| d:\projects\flutter\49\49-mobile-app\lib\features\social_media\chat\chat_room\data\models\message_model.dart                                                                      | Dart     |         60 |          0 |          5 |         65 |
| d:\projects\flutter\49\49-mobile-app\lib\features\social_media\chat\chat_room\data\models\typing_and_online_model.dart                                                            | Dart     |         13 |          0 |          3 |         16 |
| d:\projects\flutter\49\49-mobile-app\lib\features\social_media\chat\chat_room\data\repositories\chat_room_repository_implement.dart                                               | Dart     |         22 |          0 |          6 |         28 |
| d:\projects\flutter\49\49-mobile-app\lib\features\social_media\chat\chat_room\domain\entities\chat_entity.dart                                                                    | Dart     |         21 |          0 |          3 |         24 |
| d:\projects\flutter\49\49-mobile-app\lib\features\social_media\chat\chat_room\domain\entities\chat_messgaes_entity.dart                                                           | Dart     |          7 |          0 |          3 |         10 |
| d:\projects\flutter\49\49-mobile-app\lib\features\social_media\chat\chat_room\domain\entities\contact_entity.dart                                                                 | Dart     |          6 |          0 |          2 |          8 |
| d:\projects\flutter\49\49-mobile-app\lib\features\social_media\chat\chat_room\domain\entities\message_entity.dart                                                                 | Dart     |         49 |          0 |          4 |         53 |
| d:\projects\flutter\49\49-mobile-app\lib\features\social_media\chat\chat_room\domain\repositories\chat_room_repository.dart                                                       | Dart     |         10 |          0 |          3 |         13 |
| d:\projects\flutter\49\49-mobile-app\lib\features\social_media\chat\chat_room\domain\usecases\deleteMessage_usecase.dart                                                          | Dart     |         13 |          0 |          4 |         17 |
| d:\projects\flutter\49\49-mobile-app\lib\features\social_media\chat\chat_room\domain\usecases\delete_message_request.dart                                                         | Dart     |          8 |          0 |          2 |         10 |
| d:\projects\flutter\49\49-mobile-app\lib\features\social_media\chat\chat_room\domain\usecases\getChatMessages_usecase.dart                                                        | Dart     |         13 |          0 |          4 |         17 |
| d:\projects\flutter\49\49-mobile-app\lib\features\social_media\chat\chat_room\presentation\chat_cubit\chat_room_cubit.dart                                                        | Dart     |        130 |         15 |         25 |        170 |
| d:\projects\flutter\49\49-mobile-app\lib\features\social_media\chat\chat_room\presentation\chat_cubit\chat_view_state.dart                                                        | Dart     |         34 |          0 |          9 |         43 |
| d:\projects\flutter\49\49-mobile-app\lib\features\social_media\chat\chat_room\presentation\pages\Chat_room.dart                                                                   | Dart     |        225 |          5 |         13 |        243 |
| d:\projects\flutter\49\49-mobile-app\lib\features\social_media\chat\chat_room\presentation\widgets\room\Attachment_types.dart                                                     | Dart     |         49 |          0 |          4 |         53 |
| d:\projects\flutter\49\49-mobile-app\lib\features\social_media\chat\chat_room\presentation\widgets\room\chat_room_app_bar.dart                                                    | Dart     |        123 |         19 |          4 |        146 |
| d:\projects\flutter\49\49-mobile-app\lib\features\social_media\chat\chat_room\presentation\widgets\room\delete_message_body.dart                                                  | Dart     |         53 |          9 |          3 |         65 |
| d:\projects\flutter\49\49-mobile-app\lib\features\social_media\chat\chat_room\presentation\widgets\room\message_card.dart                                                         | Dart     |        189 |          2 |         10 |        201 |
| d:\projects\flutter\49\49-mobile-app\lib\features\social_media\chat\chat_room\presentation\widgets\room\replay_message_widget.dart                                                | Dart     |         58 |          0 |          5 |         63 |
| d:\projects\flutter\49\49-mobile-app\lib\features\social_media\chat\chat_room\presentation\widgets\room\send_message_widget.dart                                                  | Dart     |        378 |          5 |         27 |        410 |
| d:\projects\flutter\49\49-mobile-app\lib\features\social_media\chat\chat_view\data\datasources\chats_remote_datasourse.dart                                                       | Dart     |        112 |          0 |         15 |        127 |
| d:\projects\flutter\49\49-mobile-app\lib\features\social_media\chat\chat_view\data\models\chat_item_model.dart                                                                    | Dart     |         61 |          0 |          6 |         67 |
| d:\projects\flutter\49\49-mobile-app\lib\features\social_media\chat\chat_view\data\models\socket_model.dart                                                                       | Dart     |         32 |          0 |          7 |         39 |
| d:\projects\flutter\49\49-mobile-app\lib\features\social_media\chat\chat_view\data\repositories\chats_repository_implement.dart                                                   | Dart     |         43 |          0 |          8 |         51 |
| d:\projects\flutter\49\49-mobile-app\lib\features\social_media\chat\chat_view\domain\repositories\chats_repository.dart                                                           | Dart     |         13 |          0 |          2 |         15 |
| d:\projects\flutter\49\49-mobile-app\lib\features\social_media\chat\chat_view\domain\usecases\changeChatMuteState_usecase.dart                                                    | Dart     |         12 |          0 |          4 |         16 |
| d:\projects\flutter\49\49-mobile-app\lib\features\social_media\chat\chat_view\domain\usecases\changeChatToArchiveNormal_usecase.dart                                              | Dart     |         12 |          0 |          4 |         16 |
| d:\projects\flutter\49\49-mobile-app\lib\features\social_media\chat\chat_view\domain\usecases\chats_request.dart                                                                  | Dart     |         16 |          0 |          1 |         17 |
| d:\projects\flutter\49\49-mobile-app\lib\features\social_media\chat\chat_view\domain\usecases\getChats_usecase.dart                                                               | Dart     |         14 |          0 |          4 |         18 |
| d:\projects\flutter\49\49-mobile-app\lib\features\social_media\chat\chat_view\domain\usecases\lock_chat_request.dart                                                              | Dart     |          8 |          0 |          2 |         10 |
| d:\projects\flutter\49\49-mobile-app\lib\features\social_media\chat\chat_view\domain\usecases\lock_chat_usecase.dart                                                              | Dart     |         13 |          0 |          4 |         17 |
| d:\projects\flutter\49\49-mobile-app\lib\features\social_media\chat\chat_view\domain\usecases\unlock_chat_usecase.dart                                                            | Dart     |         13 |          0 |          4 |         17 |
| d:\projects\flutter\49\49-mobile-app\lib\features\social_media\chat\chat_view\presentation\chat_cubit\chat_cubit.dart                                                             | Dart     |        215 |          8 |         28 |        251 |
| d:\projects\flutter\49\49-mobile-app\lib\features\social_media\chat\chat_view\presentation\chat_cubit\chats_state.dart                                                            | Dart     |         30 |          0 |          8 |         38 |
| d:\projects\flutter\49\49-mobile-app\lib\features\social_media\chat\chat_view\presentation\pages\Chat_view.dart                                                                   | Dart     |        250 |        272 |         16 |        538 |
| d:\projects\flutter\49\49-mobile-app\lib\features\social_media\chat\chat_view\presentation\widgets\calling_card.dart                                                              | Dart     |         58 |          0 |          3 |         61 |
| d:\projects\flutter\49\49-mobile-app\lib\features\social_media\chat\chat_view\presentation\widgets\chat_card.dart                                                                 | Dart     |        173 |         10 |         12 |        195 |
| d:\projects\flutter\49\49-mobile-app\lib\features\social_media\chat\chat_view\presentation\widgets\chat_stories.dart                                                              | Dart     |         98 |          0 |          5 |        103 |
| d:\projects\flutter\49\49-mobile-app\lib\features\social_media\chat\chat_view\presentation\widgets\more_icon_bottom_sheet_body.dart                                               | Dart     |        174 |          2 |         10 |        186 |
| d:\projects\flutter\49\49-mobile-app\lib\features\social_media\club_house\data\datasource\club_voice_datasource.dart                                                              | Dart     |         73 |          1 |         13 |         87 |
| d:\projects\flutter\49\49-mobile-app\lib\features\social_media\club_house\data\model\club_voice_room_model.dart                                                                   | Dart     |         17 |          0 |          2 |         19 |
| d:\projects\flutter\49\49-mobile-app\lib\features\social_media\club_house\data\model\create_voice_room_model.dart                                                                 | Dart     |         12 |          1 |          2 |         15 |
| d:\projects\flutter\49\49-mobile-app\lib\features\social_media\club_house\data\repositories\club_voice_repository_impl.dart                                                       | Dart     |         38 |          0 |          9 |         47 |
| d:\projects\flutter\49\49-mobile-app\lib\features\social_media\club_house\domain\entities\club_voice_room_entity.dart                                                             | Dart     |         15 |          1 |          3 |         19 |
| d:\projects\flutter\49\49-mobile-app\lib\features\social_media\club_house\domain\entities\create_room_response_entity.dart                                                        | Dart     |         11 |          1 |          3 |         15 |
| d:\projects\flutter\49\49-mobile-app\lib\features\social_media\club_house\domain\repositories\club_voice_repository.dart                                                          | Dart     |         16 |          0 |          3 |         19 |
| d:\projects\flutter\49\49-mobile-app\lib\features\social_media\club_house\domain\usecases\add_club_voice_use_case.dart                                                            | Dart     |         27 |          2 |          9 |         38 |
| d:\projects\flutter\49\49-mobile-app\lib\features\social_media\club_house\domain\usecases\end_club_voice_use_case.dart                                                            | Dart     |         13 |          1 |          6 |         20 |
| d:\projects\flutter\49\49-mobile-app\lib\features\social_media\club_house\domain\usecases\get_club_voice_use_case.dart                                                            | Dart     |         13 |          0 |          6 |         19 |
| d:\projects\flutter\49\49-mobile-app\lib\features\social_media\club_house\domain\usecases\join_club_voice_use_case.dart                                                           | Dart     |         26 |          1 |          7 |         34 |
| d:\projects\flutter\49\49-mobile-app\lib\features\social_media\club_house\domain\usecases\leave_club_voice_use_case.dart                                                          | Dart     |         13 |          0 |          6 |         19 |
| d:\projects\flutter\49\49-mobile-app\lib\features\social_media\club_house\domain\usecases\search_club_voice_use_case.dart                                                         | Dart     |         24 |          1 |          7 |         32 |
| d:\projects\flutter\49\49-mobile-app\lib\features\social_media\club_house\presentation\controller\club_voice_bloc.dart                                                            | Dart     |         98 |          0 |          8 |        106 |
| d:\projects\flutter\49\49-mobile-app\lib\features\social_media\club_house\presentation\controller\club_voice_state.dart                                                           | Dart     |         41 |          5 |         12 |         58 |
| d:\projects\flutter\49\49-mobile-app\lib\features\social_media\club_house\presentation\manager\club_house_state.dart                                                              | Dart     |          3 |          0 |          3 |          6 |
| d:\projects\flutter\49\49-mobile-app\lib\features\social_media\club_house\presentation\pages\audio_stream_screen.dart                                                             | Dart     |        139 |          0 |          3 |        142 |
| d:\projects\flutter\49\49-mobile-app\lib\features\social_media\club_house\presentation\pages\club_house_home_screen.dart                                                          | Dart     |         78 |         56 |          5 |        139 |
| d:\projects\flutter\49\49-mobile-app\lib\features\social_media\club_house\presentation\widgets\audio_room_card.dart                                                               | Dart     |        128 |          1 |          4 |        133 |
| d:\projects\flutter\49\49-mobile-app\lib\features\social_media\club_house\presentation\widgets\comment.dart                                                                       | Dart     |        273 |         12 |          5 |        290 |
| d:\projects\flutter\49\49-mobile-app\lib\features\social_media\club_house\presentation\widgets\components\create_voice_room_dialogue.dart                                         | Dart     |        109 |          3 |          6 |        118 |
| d:\projects\flutter\49\49-mobile-app\lib\features\social_media\club_house\presentation\widgets\components\custom_extended_button.dart                                             | Dart     |         26 |          0 |          3 |         29 |
| d:\projects\flutter\49\49-mobile-app\lib\features\social_media\club_house\presentation\widgets\components\media_player.dart                                                       | Dart     |        112 |          4 |          5 |        121 |
| d:\projects\flutter\49\49-mobile-app\lib\features\social_media\club_house\presentation\widgets\report_widget.dart                                                                 | Dart     |        182 |          0 |          3 |        185 |
| d:\projects\flutter\49\49-mobile-app\lib\features\social_media\club_house\presentation\widgets\roomInfo.dart                                                                      | Dart     |        237 |          0 |          4 |        241 |
| d:\projects\flutter\49\49-mobile-app\lib\features\social_media\club_house\presentation\widgets\zego_audio_room_widget.dart                                                        | Dart     |        374 |         13 |         27 |        414 |
| d:\projects\flutter\49\49-mobile-app\lib\features\social_media\create_post\data\datasources\create_post_remote_datasource.dart                                                    | Dart     |         62 |         12 |          6 |         80 |
| d:\projects\flutter\49\49-mobile-app\lib\features\social_media\create_post\data\models\activity_model.dart                                                                        | Dart     |         11 |          0 |          2 |         13 |
| d:\projects\flutter\49\49-mobile-app\lib\features\social_media\create_post\data\models\feeling_model.dart                                                                         | Dart     |         11 |          0 |          2 |         13 |
| d:\projects\flutter\49\49-mobile-app\lib\features\social_media\create_post\data\repositories\create_post_repo_impl.dart                                                           | Dart     |         29 |          0 |          9 |         38 |
| d:\projects\flutter\49\49-mobile-app\lib\features\social_media\create_post\domain\entities\activity_entity.dart                                                                   | Dart     |          6 |          0 |          1 |          7 |
| d:\projects\flutter\49\49-mobile-app\lib\features\social_media\create_post\domain\entities\feeling_entity.dart                                                                    | Dart     |          6 |          0 |          1 |          7 |
| d:\projects\flutter\49\49-mobile-app\lib\features\social_media\create_post\domain\repositories\create_post_repo.dart                                                              | Dart     |         13 |          0 |          3 |         16 |
| d:\projects\flutter\49\49-mobile-app\lib\features\social_media\create_post\domain\usecases\creat_twitter_usecase.dart                                                             | Dart     |         27 |          0 |          3 |         30 |
| d:\projects\flutter\49\49-mobile-app\lib\features\social_media\create_post\domain\usecases\create_post_usecase.dart                                                               | Dart     |         36 |          0 |          3 |         39 |
| d:\projects\flutter\49\49-mobile-app\lib\features\social_media\create_post\domain\usecases\get_activities_usecase.dart                                                            | Dart     |         13 |          0 |          3 |         16 |
| d:\projects\flutter\49\49-mobile-app\lib\features\social_media\create_post\domain\usecases\get_feelings_usecase.dart                                                              | Dart     |         13 |          0 |          3 |         16 |
| d:\projects\flutter\49\49-mobile-app\lib\features\social_media\create_post\presentation\cubit\create_post_cubit.dart                                                              | Dart     |        113 |          2 |         16 |        131 |
| d:\projects\flutter\49\49-mobile-app\lib\features\social_media\create_post\presentation\cubit\create_post_state.dart                                                              | Dart     |         46 |          0 |          3 |         49 |
| d:\projects\flutter\49\49-mobile-app\lib\features\social_media\create_post\presentation\pages\create_post_view.dart                                                               | Dart     |        330 |          8 |          8 |        346 |
| d:\projects\flutter\49\49-mobile-app\lib\features\social_media\create_post\presentation\pages\select_activity_view.dart                                                           | Dart     |         48 |          0 |          5 |         53 |
| d:\projects\flutter\49\49-mobile-app\lib\features\social_media\create_post\presentation\pages\select_feeling_view.dart                                                            | Dart     |         48 |          0 |          5 |         53 |
| d:\projects\flutter\49\49-mobile-app\lib\features\social_media\create_post\presentation\widgets\image_details.dart                                                                | Dart     |        105 |          4 |          8 |        117 |
| d:\projects\flutter\49\49-mobile-app\lib\features\social_media\create_post\presentation\widgets\show_all_images.dart                                                              | Dart     |         91 |          3 |          6 |        100 |
| d:\projects\flutter\49\49-mobile-app\lib\features\social_media\instagram\data\datasources\instagram_remote_datasource.dart                                                        | Dart     |         53 |          0 |         11 |         64 |
| d:\projects\flutter\49\49-mobile-app\lib\features\social_media\instagram\data\repositories\instagram_repo_impl.dart                                                               | Dart     |         23 |          0 |          7 |         30 |
| d:\projects\flutter\49\49-mobile-app\lib\features\social_media\instagram\domain\repositories\social_posts_repo.dart                                                               | Dart     |         10 |          0 |          2 |         12 |
| d:\projects\flutter\49\49-mobile-app\lib\features\social_media\instagram\domain\usecases\get_instagram_feed_usecase.dart                                                          | Dart     |         16 |          0 |          2 |         18 |
| d:\projects\flutter\49\49-mobile-app\lib\features\social_media\instagram\domain\usecases\get_instagram_reels_usecase.dart                                                         | Dart     |         16 |          0 |          2 |         18 |
| d:\projects\flutter\49\49-mobile-app\lib\features\social_media\instagram\domain\usecases\get_user_reels_usecase.dart                                                              | Dart     |         27 |          1 |          3 |         31 |
| d:\projects\flutter\49\49-mobile-app\lib\features\social_media\instagram\presentation\cubit\instagram_cubit.dart                                                                  | Dart     |        256 |         58 |         39 |        353 |
| d:\projects\flutter\49\49-mobile-app\lib\features\social_media\instagram\presentation\cubit\instagram_state.dart                                                                  | Dart     |         45 |          0 |          3 |         48 |
| d:\projects\flutter\49\49-mobile-app\lib\features\social_media\instagram\presentation\pages\instgram_view.dart                                                                    | Dart     |         93 |          0 |         12 |        105 |
| d:\projects\flutter\49\49-mobile-app\lib\features\social_media\instagram\presentation\widgets\insta_reel_card.dart                                                                | Dart     |        226 |          8 |         21 |        255 |
| d:\projects\flutter\49\49-mobile-app\lib\features\social_media\instagram\presentation\widgets\instagram_comment_card.dart                                                         | Dart     |        130 |          4 |          4 |        138 |
| d:\projects\flutter\49\49-mobile-app\lib\features\social_media\instagram\presentation\widgets\instagram_comment_replies.dart                                                      | Dart     |        186 |          4 |          6 |        196 |
| d:\projects\flutter\49\49-mobile-app\lib\features\social_media\instagram\presentation\widgets\instagram_global_posts.dart                                                         | Dart     |        329 |          0 |          3 |        332 |
| d:\projects\flutter\49\49-mobile-app\lib\features\social_media\instagram\presentation\widgets\instagram_post_comments.dart                                                        | Dart     |        184 |          7 |          6 |        197 |
| d:\projects\flutter\49\49-mobile-app\lib\features\social_media\instagram\presentation\widgets\instagram_reply_card.dart                                                           | Dart     |        144 |          0 |          4 |        148 |
| d:\projects\flutter\49\49-mobile-app\lib\features\social_media\live_streaming\presentation\cubit\live_streaming_cubit.dart                                                        | Dart     |          6 |          0 |          3 |          9 |
| d:\projects\flutter\49\49-mobile-app\lib\features\social_media\live_streaming\presentation\cubit\live_streaming_state.dart                                                        | Dart     |          7 |          0 |          4 |         11 |
| d:\projects\flutter\49\49-mobile-app\lib\features\social_media\live_streaming\presentation\pages\live_stream_home_screen.dart                                                     | Dart     |         35 |          0 |          5 |         40 |
| d:\projects\flutter\49\49-mobile-app\lib\features\social_media\live_streaming\presentation\pages\live_stream_view.dart                                                            | Dart     |        287 |         67 |         31 |        385 |
| d:\projects\flutter\49\49-mobile-app\lib\features\social_media\live_streaming\presentation\widgets\components\gift_mp4_player.dart                                                | Dart     |        103 |          3 |         20 |        126 |
| d:\projects\flutter\49\49-mobile-app\lib\features\social_media\live_streaming\presentation\widgets\liveview\gifts\simple_gifts_sheet.dart                                         | Dart     |        120 |          2 |          4 |        126 |
| d:\projects\flutter\49\49-mobile-app\lib\features\social_media\live_streaming\presentation\widgets\liveview\live_card.dart                                                        | Dart     |        200 |          5 |          9 |        214 |
| d:\projects\flutter\49\49-mobile-app\lib\features\social_media\live_streaming\presentation\widgets\liveview\recharge_coins.dart                                                   | Dart     |         91 |          0 |          8 |         99 |
| d:\projects\flutter\49\49-mobile-app\lib\features\social_media\live_streaming\presentation\widgets\liveview\super_gifts\gift_cache.dart                                           | Dart     |         83 |          0 |         14 |         97 |
| d:\projects\flutter\49\49-mobile-app\lib\features\social_media\live_streaming\presentation\widgets\liveview\super_gifts\gift_manager.dart                                         | Dart     |         19 |          0 |          4 |         23 |
| d:\projects\flutter\49\49-mobile-app\lib\features\social_media\live_streaming\presentation\widgets\liveview\super_gifts\gift_playlist.dart                                        | Dart     |         30 |          0 |          8 |         38 |
| d:\projects\flutter\49\49-mobile-app\lib\features\social_media\live_streaming\presentation\widgets\liveview\super_gifts\gift_protocol.dart                                        | Dart     |        134 |          7 |         21 |        162 |
| d:\projects\flutter\49\49-mobile-app\lib\features\social_media\live_streaming\presentation\widgets\liveview\super_gifts\gift_sheet.dart                                           | Dart     |        213 |          2 |         20 |        235 |
| d:\projects\flutter\49\49-mobile-app\lib\features\social_media\live_streaming\presentation\widgets\liveview\super_gifts\mp4_player_widget.dart                                    | Dart     |        108 |          3 |         18 |        129 |
| d:\projects\flutter\49\49-mobile-app\lib\features\social_media\live_streaming\presentation\widgets\liveview\super_gifts\svga_player_widget.dart                                   | Dart     |          0 |        151 |         25 |        176 |
| d:\projects\flutter\49\49-mobile-app\lib\features\social_media\live_streaming\presentation\widgets\liveview\super_gifts\zego_gift_item.dart                                       | Dart     |         32 |          0 |          6 |         38 |
| d:\projects\flutter\49\49-mobile-app\lib\features\social_media\live_streaming\presentation\widgets\pk_widgets\configs.dart                                                        | Dart     |        103 |         18 |         11 |        132 |
| d:\projects\flutter\49\49-mobile-app\lib\features\social_media\live_streaming\presentation\widgets\pk_widgets\events.dart                                                         | Dart     |        115 |          0 |         21 |        136 |
| d:\projects\flutter\49\49-mobile-app\lib\features\social_media\live_streaming\presentation\widgets\pk_widgets\join_widget.dart                                                    | Dart     |          0 |         90 |          8 |         98 |
| d:\projects\flutter\49\49-mobile-app\lib\features\social_media\live_streaming\presentation\widgets\pk_widgets\mute_widget.dart                                                    | Dart     |         41 |          1 |          5 |         47 |
| d:\projects\flutter\49\49-mobile-app\lib\features\social_media\live_streaming\presentation\widgets\pk_widgets\quit_button.dart                                                    | Dart     |         68 |          0 |          8 |         76 |
| d:\projects\flutter\49\49-mobile-app\lib\features\social_media\live_streaming\presentation\widgets\pk_widgets\request_widget.dart                                                 | Dart     |        125 |          2 |          9 |        136 |
| d:\projects\flutter\49\49-mobile-app\lib\features\social_media\live_streaming\presentation\widgets\pk_widgets\requesting_id_value_listenable_widget.dart                          | Dart     |         34 |          0 |          5 |         39 |
| d:\projects\flutter\49\49-mobile-app\lib\features\social_media\live_streaming\presentation\widgets\pk_widgets\requesting_list.dart                                                | Dart     |        110 |          2 |         12 |        124 |
| d:\projects\flutter\49\49-mobile-app\lib\features\social_media\live_streaming\presentation\widgets\pk_widgets\stop_button.dart                                                    | Dart     |         67 |          0 |          8 |         75 |
| d:\projects\flutter\49\49-mobile-app\lib\features\social_media\live_streaming\presentation\widgets\pk_widgets\surfuce.dart                                                        | Dart     |         80 |         16 |          8 |        104 |
| d:\projects\flutter\49\49-mobile-app\lib\features\social_media\live_streaming\presentation\widgets\zego\src\components\audio_video_view_foreground.dart                           | Dart     |        168 |         14 |         20 |        202 |
| d:\projects\flutter\49\49-mobile-app\lib\features\social_media\live_streaming\presentation\widgets\zego\src\components\bottom_bar.dart                                            | Dart     |        401 |         15 |         32 |        448 |
| d:\projects\flutter\49\49-mobile-app\lib\features\social_media\live_streaming\presentation\widgets\zego\src\components\central_audio_video_view.dart                              | Dart     |        402 |         16 |         46 |        464 |
| d:\projects\flutter\49\49-mobile-app\lib\features\social_media\live_streaming\presentation\widgets\zego\src\components\components.dart                                            | Dart     |          5 |          0 |          1 |          6 |
| d:\projects\flutter\49\49-mobile-app\lib\features\social_media\live_streaming\presentation\widgets\zego\src\components\defines.dart                                               | Dart     |         20 |          8 |          9 |         37 |
| d:\projects\flutter\49\49-mobile-app\lib\features\social_media\live_streaming\presentation\widgets\zego\src\components\duration_time_board.dart                                   | Dart     |        131 |          5 |         28 |        164 |
| d:\projects\flutter\49\49-mobile-app\lib\features\social_media\live_streaming\presentation\widgets\zego\src\components\effects\beauty_effect_button.dart                          | Dart     |         64 |          6 |          8 |         78 |
| d:\projects\flutter\49\49-mobile-app\lib\features\social_media\live_streaming\presentation\widgets\zego\src\components\effects\beauty_effect_reset_button.dart                    | Dart     |         40 |          6 |          9 |         55 |
| d:\projects\flutter\49\49-mobile-app\lib\features\social_media\live_streaming\presentation\widgets\zego\src\components\effects\beauty_effect_sheet.dart                           | Dart     |        276 |         12 |         27 |        315 |
